source,target,weight
1,2,52
1,83,81
1,3,337
1,85,142
1,82,73
1,88,9
1,89,30
1,4,10
1,5,49
1,90,7
1,86,35
1,6,25
1,7,1
1,8,46
1,9,39
1,10,6
1,11,12
1,12,11
1,76,88
1,84,4
1,13,11
1,14,3
1,15,11
1,77,28
1,19,21
1,20,7
1,87,68
1,28,3
1,34,4
1,35,1
1,81,7
1,37,2
1,41,2
1,96,1
1,97,1
1,47,2
1,98,1
1,48,2
1,49,3
1,50,2
1,51,1
1,99,1
1,52,4
1,54,2
1,55,9
1,56,1
1,57,2
1,103,1
1,105,1
1,62,1
1,106,1
1,64,6
1,67,1
1,70,4
2,1,29
2,3,3
2,5,1
2,34,2
2,35,1
83,1,6
83,3,1
83,86,25
83,84,5
83,52,3
83,107,4
3,1,152
3,2,1
3,83,5
3,85,29
3,82,2
3,88,2
3,89,2
3,90,1
3,86,4
3,7,1
3,8,21
3,9,16
3,12,21
3,76,25
3,14,1
3,77,3
3,87,18
3,31,11
3,99,1
3,74,3
85,1,33
85,3,18
85,88,12
85,8,2
85,76,9
82,1,18
82,3,2
82,87,4
82,36,8
82,96,15
82,46,25
88,1,2
88,3,1
88,85,10
88,6,2
88,21,1
89,1,2
89,3,1
89,7,7
89,12,2
89,14,1
89,109,1
89,110,1
4,1,1
4,5,1
5,1,65
5,3,3
5,8,2
90,1,1
90,3,1
86,1,5
86,83,19
86,3,1
86,107,3
6,1,41
6,3,1
7,89,7
8,1,10
8,3,1
8,5,1
8,9,7
8,78,1
8,35,1
9,8,2
11,1,118
11,3,1
11,20,17
12,1,1
12,3,25
12,9,2
12,76,1
12,13,4
12,14,73
12,16,51
12,17,12
12,18,17
12,22,6
12,79,14
12,23,1
12,24,1
12,25,2
12,26,2
12,27,2
12,29,3
12,30,1
12,31,3
12,66,2
76,1,66
76,83,1
76,3,6
76,85,7
76,89,1
76,12,1
76,19,5
76,78,12
76,87,3
76,79,4
76,59,5
76,61,4
76,71,1
76,72,2
84,1,9
84,83,1
84,52,2
13,9,2
13,41,2
14,1,1
14,8,1
14,12,64
14,24,1
14,58,24
15,1,2
15,3,1
15,76,2
16,12,93
16,58,1
17,12,37
17,30,1
18,12,44
77,1,15
77,19,1
19,1,96
19,3,1
19,76,1
78,76,27
78,79,3
20,1,15
20,86,1
87,1,48
87,3,28
87,82,18
87,9,1
87,76,2
87,21,9
87,27,1
87,81,21
87,37,29
87,38,2
87,39,9
87,91,3
87,40,1
87,41,5
87,105,5
87,73,2
22,12,4
79,12,2
79,78,5
79,101,1
79,59,1
79,102,1
23,12,6
24,14,1
25,12,4
27,12,4
29,12,4
31,89,1
31,13,1
32,1,1
32,12,1
33,12,1
80,12,1
34,1,1
34,2,1
81,87,2
81,105,1
37,1,1
37,82,11
37,87,12
37,27,4
37,41,46
37,42,4
37,93,31
37,43,1
37,95,17
37,44,22
37,45,6
38,87,1
41,12,2
41,13,10
41,27,4
41,37,12
41,42,1
41,92,11
41,93,3
41,94,10
42,12,2
93,37,1
93,41,1
43,37,1
43,41,1
44,37,2
45,37,1
96,1,1
96,82,7
96,46,8
46,82,8
46,96,5
47,1,2
98,1,1
49,1,1
49,83,2
49,3,1
49,86,1
50,1,1
51,3,1
51,9,1
99,3,1
52,83,4
53,1,1
54,1,2
100,1,1
101,79,11
101,102,3
58,14,26
58,24,6
59,79,4
102,79,2
102,59,1
104,103,1
60,81,9
61,76,1
107,63,3
108,1,4
108,6,1
65,12,4
66,12,2
68,1,11
69,1,11
71,76,3
75,12,1
